Name,Photo,Age,Country,Club,Club Photo,Overall Rating,Potential,Height,Weight,Preferred Foot,Best Position,Value,Wage,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
Manuel Neuer,https://www.fifaindex.com/static/FIFA20/images/players/5/167495.png,33,Germany,FC Bayern ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/21.png,88,88,"6'4""",203lbs,Right,GK,€32M,€155K,15,13,25,55,11.0,30,11,59,46,54,60,51.0,84,35.0,68,77.0,43,80,16,29,30.0,12.0,70.0,47,70.0,17,87,87,91,85,87
Paulo Dybala,https://www.fifaindex.com/static/FIFA20/images/players/5/211110.png,26,Argentina,Juventus ,https://www.fifaindex.com/static/FIFA19/images/crest/3/light/45.png,88,91,"5'10""",165lbs,Left,CAM,€74.5M,€210K,82,80,64,87,88.0,90,88,75,93,88,82,91.0,84,85.0,80,75.0,79,61,86,48,42.0,80.0,87.0,86,84.0,32,5,4,4,5,8
Kalidou Koulibaly,https://www.fifaindex.com/static/FIFA20/images/players/5/201024.png,28,Senegal,Napoli ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/48.png,89,91,"6'2""",196lbs,Right,CB,€67.5M,€145K,30,22,83,71,14.0,69,28,63,71,69,73,52.0,86,41.0,55,81.0,73,95,15,87,88.0,35.0,52.0,33,82.0,91,7,11,7,13,5
Pierre-Emerick Aubameyang,https://www.fifaindex.com/static/FIFA20/images/players/5/188567.png,30,Gabon,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,88,88,"6'2""",176lbs,Right,ST,€57M,€200K,76,90,75,77,84.0,80,76,64,82,92,95,77.0,87,68.0,82,75.0,78,74,80,43,48.0,93.0,77.0,78,87.0,27,6,9,15,9,9
David Silva,https://www.fifaindex.com/static/FIFA20/images/players/5/168542.png,34,Spain,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,72,72,"5'9""",165lbs,Right,CAM,€2.4M,€4K,65,67,39,71,38.0,65,66,67,75,67,69,71.0,73,72.0,69,70.0,83,71,65,65,53.0,71.0,80.0,59,72.0,54,15,6,8,7,12
Karim Benzema,https://www.fifaindex.com/static/FIFA20/images/players/5/165153.png,32,France,Real Madrid ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/243.png,88,88,"6'1""",179lbs,Right,CF,€53M,€340K,75,86,86,85,84.0,86,73,73,90,78,74,78.0,88,69.0,83,79.0,79,80,78,63,39.0,89.0,86.0,84,88.0,47,13,11,5,5,7
Samir Handanovič,https://www.fifaindex.com/static/FIFA20/images/players/5/162835.png,35,Slovenia,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,88,88,"6'4""",203lbs,Right,GK,€26M,€110K,12,10,10,36,12.0,12,14,34,16,51,55,47.0,83,36.0,52,78.0,41,71,19,25,22.0,12.0,41.0,23,69.0,25,88,85,69,89,89
Giorgio Chiellini,https://www.fifaindex.com/static/FIFA20/images/players/5/138956.png,35,Italy,Juventus ,https://www.fifaindex.com/static/FIFA19/images/crest/3/light/45.png,89,89,"6'2""",187lbs,Left,CB,€24.5M,€210K,54,33,83,65,45.0,59,31,65,61,61,73,57.0,82,57.0,78,89.0,59,89,49,91,88.0,28.0,50.0,50,84.0,94,3,3,2,4,3
Joshua Kimmich,https://www.fifaindex.com/static/FIFA20/images/players/5/212622.png,24,Germany,FC Bayern ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/21.png,86,88,"5'9""",161lbs,Right,CM,€48M,€125K,91,66,74,87,67.0,83,61,85,85,77,68,84.0,87,84.0,76,79.0,94,66,71,86,80.0,80.0,84.0,44,85.0,78,8,15,7,15,15
Aymeric Laporte,https://www.fifaindex.com/static/FIFA20/images/players/5/212218.png,25,France,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,87,90,"6'2""",187lbs,Left,CB,€56.5M,€190K,58,45,86,81,40.0,63,69,80,77,61,66,59.0,87,60.0,68,76.0,76,85,47,79,87.0,54.0,65.0,44,85.0,88,10,11,5,14,5
Heung Min Son,https://www.fifaindex.com/static/FIFA20/images/players/5/200104.png,27,Korea Republic,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,87,87,"6'0""",172lbs,Right,LM,€54M,€165K,81,86,65,83,81.0,88,70,70,87,86,89,86.0,89,78.0,88,63.0,87,64,90,60,39.0,88.0,81.0,71,87.0,48,11,13,13,6,10
Marco Verratti,https://www.fifaindex.com/static/FIFA20/images/players/5/199556.png,27,Italy,Paris ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/73.png,87,88,"5'5""",132lbs,Right,CM,€58M,€145K,75,60,55,90,64.0,90,64,89,89,69,64,91.0,87,94.0,56,64.0,77,52,58,89,84.0,71.0,88.0,64,95.0,78,12,12,15,15,10
Paul Pogba,https://www.fifaindex.com/static/FIFA20/images/players/5/195864.png,26,France,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,87,90,"6'3""",185lbs,Right,CM,€61.5M,€210K,80,75,75,86,84.0,87,82,90,90,67,79,75.0,81,66.0,90,82.0,84,89,82,78,64.0,83.0,88.0,83,87.0,63,5,6,2,4,3
Keylor Navas,https://www.fifaindex.com/static/FIFA20/images/players/5/193041.png,33,Costa Rica,Paris ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/73.png,87,87,"6'1""",176lbs,Right,GK,€30.5M,€110K,11,15,11,30,11.0,16,15,37,19,54,53,60.0,84,61.0,56,74.0,39,75,13,32,20.0,16.0,68.0,25,67.0,28,90,81,75,82,90
Thibaut Courtois,https://www.fifaindex.com/static/FIFA20/images/players/5/192119.png,27,Belgium,Real Madrid ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/243.png,87,88,"6'6""",212lbs,Left,GK,€41M,€190K,14,14,13,33,12.0,13,20,35,23,42,52,61.0,82,45.0,54,68.0,38,70,17,23,15.0,13.0,44.0,27,66.0,20,84,88,72,84,86
Christian Eriksen,https://www.fifaindex.com/static/FIFA20/images/players/5/190460.png,27,Denmark,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,87,88,"5'11""",168lbs,Right,CAM,€58M,€165K,86,77,52,90,80.0,78,85,89,91,75,71,79.0,87,80.0,84,50.0,92,57,89,46,56.0,85.0,90.0,67,88.0,59,9,14,7,7,6
Marco Reus,https://www.fifaindex.com/static/FIFA20/images/players/5/188350.png,30,Germany,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,87,87,"5'11""",157lbs,Right,CAM,€47.5M,€140K,82,87,44,86,90.0,86,86,75,87,84,83,84.0,85,84.0,88,71.0,74,67,87,51,48.0,87.0,85.0,90,85.0,50,12,12,13,13,11
Wojciech Szczęsny,https://www.fifaindex.com/static/FIFA20/images/players/5/186153.png,29,Poland,Juventus ,https://www.fifaindex.com/static/FIFA19/images/crest/3/light/45.png,86,88,"6'5""",198lbs,Right,GK,€37.5M,€135K,12,12,16,32,14.0,11,14,36,22,51,47,55.0,82,51.0,55,71.0,45,65,14,40,15.0,14.0,48.0,18,65.0,20,85,82,73,86,88
Ángel Di María,https://www.fifaindex.com/static/FIFA20/images/players/5/183898.png,31,Argentina,Paris ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/73.png,87,87,"5'11""",152lbs,Left,CAM,€44M,€160K,87,79,51,83,77.0,88,88,80,87,85,84,94.0,84,77.0,83,72.0,78,60,85,73,42.0,85.0,88.0,73,86.0,41,10,7,11,12,11
Diego Godín,https://www.fifaindex.com/static/FIFA20/images/players/5/182493.png,33,Uruguay,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,88,88,"6'2""",172lbs,Right,CB,€28M,€135K,52,42,88,79,47.0,53,49,70,74,61,60,57.0,81,53.0,67,90.0,65,89,43,88,87.0,48.0,52.0,50,82.0,90,6,8,15,5,15
Mats Hummels,https://www.fifaindex.com/static/FIFA20/images/players/5/178603.png,31,Germany,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,87,87,"6'3""",207lbs,Right,CB,€41M,€125K,64,55,87,81,60.0,69,53,85,81,40,65,63.0,87,59.0,71,68.0,65,85,51,71,90.0,56.0,79.0,68,89.0,90,15,6,10,5,6
Dries Mertens,https://www.fifaindex.com/static/FIFA20/images/players/5/175943.png,32,Belgium,Napoli ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/48.png,87,87,"5'7""",134lbs,Right,RW,€40M,€135K,79,86,40,82,70.0,91,79,74,89,93,83,94.0,88,92.0,80,59.0,73,39,81,59,36.0,87.0,83.0,79,81.0,25,7,10,8,10,4
Hugo Lloris,https://www.fifaindex.com/static/FIFA20/images/players/5/167948.png,33,France,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,88,88,"6'2""",181lbs,Left,GK,€36M,€150K,13,10,10,50,11.0,10,10,50,34,65,62,55.0,86,54.0,51,74.0,41,43,14,31,27.0,10.0,30.0,40,65.0,29,89,82,68,84,91
Milan Škriniar,https://www.fifaindex.com/static/FIFA20/images/players/5/232363.png,24,Slovakia,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,86,90,"6'2""",176lbs,Right,CB,€52M,€89K,40,42,82,73,40.0,67,30,69,69,70,69,48.0,83,51.0,50,78.0,75,85,30,86,86.0,30.0,57.0,56,81.0,92,10,13,12,8,12
Leroy Sané,https://www.fifaindex.com/static/FIFA20/images/players/5/222492.png,24,Germany,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,86,92,"6'0""",165lbs,Left,LW,€61M,€195K,83,81,72,80,85.0,88,82,64,85,93,96,86.0,81,80.0,87,64.0,78,70,78,61,34.0,84.0,82.0,71,80.0,36,8,12,9,9,14
Raphaël Varane,https://www.fifaindex.com/static/FIFA20/images/players/5/201535.png,26,France,Real Madrid ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/243.png,86,90,"6'3""",179lbs,Right,CB,€50.5M,€220K,36,40,83,75,42.0,55,52,76,77,80,86,63.0,83,38.0,52,79.0,74,85,53,77,84.0,44.0,59.0,43,84.0,87,11,11,9,5,14
Lorenzo Insigne,https://www.fifaindex.com/static/FIFA20/images/players/5/198219.png,28,Italy,Napoli ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/48.png,86,86,"5'4""",130lbs,Right,CAM,€46M,€130K,85,76,59,86,74.0,90,77,78,93,94,85,94.0,83,93.0,78,52.0,72,40,84,34,26.0,84.0,88.0,68,83.0,49,8,4,14,9,10
Romelu Lukaku,https://www.fifaindex.com/static/FIFA20/images/players/5/192505.png,26,Belgium,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,85,86,"6'3""",207lbs,Left,ST,€46M,€115K,72,84,85,75,77.0,78,66,71,70,64,84,55.0,84,46.0,87,71.0,75,95,74,71,27.0,86.0,73.0,78,81.0,30,8,15,14,7,10
Leonardo Bonucci,https://www.fifaindex.com/static/FIFA20/images/players/5/184344.png,32,Italy,Juventus ,https://www.fifaindex.com/static/FIFA19/images/crest/3/light/45.png,86,86,"6'3""",187lbs,Right,CB,€28.5M,€155K,44,48,84,77,58.0,69,61,85,75,60,64,61.0,84,55.0,74,85.0,68,81,65,82,90.0,38.0,74.0,70,86.0,90,2,2,3,2,4
Toby Alderweireld,https://www.fifaindex.com/static/FIFA20/images/players/5/184087.png,30,Belgium,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,86,86,"6'1""",179lbs,Right,CB,€36M,€140K,64,45,82,79,38.0,62,69,85,75,60,65,59.0,85,62.0,78,82.0,78,79,58,81,86.0,52.0,62.0,58,86.0,88,16,6,14,16,14
Miralem Pjanić,https://www.fifaindex.com/static/FIFA20/images/players/5/180206.png,29,Bosnia & Herzegovina,Juventus ,https://www.fifaindex.com/static/FIFA19/images/crest/3/light/45.png,86,86,"5'10""",159lbs,Right,CM,€42.5M,€180K,81,56,60,90,72.0,86,92,87,89,69,67,75.0,84,81.0,78,60.0,83,61,82,70,78.0,68.0,88.0,79,86.0,78,7,7,13,7,8
Edinson Cavani,https://www.fifaindex.com/static/FIFA20/images/players/5/179813.png,32,Uruguay,Paris ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/73.png,87,87,"6'1""",170lbs,Right,ST,€40M,€160K,68,88,89,75,88.0,76,76,52,80,74,76,74.0,89,59.0,88,88.0,90,79,77,84,54.0,92.0,75.0,85,80.0,57,12,5,13,13,10
Jan Vertonghen,https://www.fifaindex.com/static/FIFA20/images/players/5/172871.png,32,Belgium,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,86,86,"6'2""",190lbs,Left,CB,€28.5M,€140K,70,54,78,79,52.0,70,70,73,77,59,64,60.0,83,60.0,80,83.0,74,79,66,84,87.0,56.0,66.0,66,81.0,87,6,10,9,12,7
Matthijs de Ligt,https://www.fifaindex.com/static/FIFA20/images/players/5/235243.png,20,Netherlands,Juventus ,https://www.fifaindex.com/static/FIFA19/images/crest/3/light/45.png,85,93,"6'2""",196lbs,Right,CB,€50M,€76K,52,50,85,76,40.0,66,55,74,74,64,73,56.0,83,60.0,82,84.0,77,88,64,82,82.0,44.0,63.0,40,82.0,86,12,11,11,12,10
Jadon Sancho,https://www.fifaindex.com/static/FIFA20/images/players/5/233049.png,19,England,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,85,93,"5'11""",168lbs,Right,RW,€55M,€66K,79,81,38,85,80.0,92,48,59,88,89,85,91.0,84,90.0,69,51.0,78,59,63,41,29.0,80.0,85.0,57,80.0,32,7,11,10,11,13
Gianluigi Donnarumma,https://www.fifaindex.com/static/FIFA20/images/players/5/230621.png,20,Italy,Milan ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/47.png,85,92,"6'5""",198lbs,Right,GK,€41.5M,€34K,12,12,12,34,8.0,28,14,24,28,46,54,64.0,79,38.0,56,72.0,34,72,18,30,26.0,14.0,50.0,24,68.0,20,90,80,74,80,90
Niklas Süle,https://www.fifaindex.com/static/FIFA20/images/players/5/212190.png,24,Germany,FC Bayern ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/21.png,85,90,"6'5""",214lbs,Right,CB,€46.5M,€115K,34,22,86,78,33.0,43,30,69,63,52,86,33.0,81,32.0,77,38.0,63,93,62,83,81.0,26.0,40.0,32,75.0,85,15,7,14,7,15
Riyad Mahrez,https://www.fifaindex.com/static/FIFA20/images/players/5/204485.png,28,Algeria,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,85,85,"5'10""",148lbs,Left,CAM,€39M,€210K,81,78,48,79,76.0,91,78,75,91,87,82,92.0,77,88.0,79,60.0,76,54,80,48,39.0,79.0,82.0,70,84.0,45,15,9,13,11,6
David Alaba,https://www.fifaindex.com/static/FIFA20/images/players/5/197445.png,27,Austria,FC Bayern ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/21.png,85,86,"5'11""",172lbs,Left,LB,€38M,€135K,82,63,74,82,68.0,79,85,79,82,79,87,78.0,84,78.0,85,83.0,85,74,80,69,82.0,76.0,77.0,79,80.0,80,5,7,14,15,9
Alexandre Lacazette,https://www.fifaindex.com/static/FIFA20/images/players/5/193301.png,28,France,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,85,85,"5'9""",170lbs,Right,ST,€40M,€150K,68,86,74,79,82.0,86,74,69,85,81,82,85.0,86,85.0,87,76.0,79,75,78,74,42.0,87.0,78.0,76,84.0,29,11,6,9,5,6
Thomas Müller,https://www.fifaindex.com/static/FIFA20/images/players/5/189596.png,30,Germany,FC Bayern ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/21.png,85,85,"6'1""",165lbs,Right,CAM,€37.5M,€155K,79,87,81,81,84.0,75,59,72,81,68,69,73.0,90,71.0,78,77.0,86,67,80,61,58.0,92.0,85.0,60,84.0,44,6,7,11,14,14
Roman Bürki,https://www.fifaindex.com/static/FIFA20/images/players/5/189117.png,29,Switzerland,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,85,86,"6'2""",187lbs,Right,GK,€32M,€92K,15,8,17,37,13.0,12,12,24,23,44,50,49.0,83,52.0,56,74.0,36,74,14,35,18.0,10.0,50.0,20,58.0,11,86,81,74,84,89
Axel Witsel,https://www.fifaindex.com/static/FIFA20/images/players/5/177413.png,31,Belgium,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,85,85,"6'1""",179lbs,Right,CDM,€31.5M,€105K,69,71,83,89,77.0,79,68,84,84,67,77,76.0,85,68.0,78,77.0,82,82,74,78,81.0,75.0,80.0,76,92.0,82,5,7,7,10,7
Gareth Bale,https://www.fifaindex.com/static/FIFA20/images/players/5/173731.png,30,Wales,Real Madrid ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/243.png,85,85,"6'1""",181lbs,Left,LW,€37.5M,€250K,86,84,84,81,85.0,83,87,80,84,90,91,79.0,80,65.0,92,84.0,73,80,90,65,59.0,85.0,79.0,76,85.0,54,15,15,11,5,6
Gonzalo Higuaín,https://www.fifaindex.com/static/FIFA20/images/players/5/167664.png,32,Argentina,Juventus ,https://www.fifaindex.com/static/FIFA19/images/crest/3/light/45.png,85,85,"6'1""",196lbs,Right,ST,€34.5M,€170K,68,88,77,75,88.0,80,62,60,84,64,69,72.0,86,69.0,86,78.0,60,84,80,50,20.0,90.0,75.0,70,85.0,35,5,12,7,5,10
Zlatan Ibrahimović,https://www.fifaindex.com/static/FIFA20/images/players/5/41236.png,38,Sweden,Milan ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/47.png,85,85,"6'5""",209lbs,Right,ST,€14M,€58K,70,86,83,77,88.0,77,78,73,84,57,55,72.0,82,39.0,90,68.0,59,87,88,84,20.0,91.0,84.0,89,90.0,28,13,15,10,9,12
Lucas Hernández,https://www.fifaindex.com/static/FIFA20/images/players/5/220814.png,23,France,FC Bayern ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/21.png,84,89,"6'0""",168lbs,Left,CB,€37.5M,€105K,78,53,82,79,46.0,65,39,63,79,79,83,70.0,85,68.0,62,85.0,83,79,51,86,83.0,62.0,63.0,42,76.0,81,10,7,8,14,10
Kingsley Coman,https://www.fifaindex.com/static/FIFA20/images/players/5/213345.png,23,France,FC Bayern ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/21.png,84,88,"5'10""",165lbs,Right,RW,€40.5M,€115K,79,76,52,78,77.0,87,70,72,87,94,94,88.0,84,85.0,80,73.0,69,64,73,36,23.0,83.0,79.0,70,76.0,29,5,3,5,3,5
Julian Brandt,https://www.fifaindex.com/static/FIFA20/images/players/5/212194.png,23,Germany,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,84,88,"6'1""",183lbs,Right,CAM,€40.5M,€94K,78,79,53,86,78.0,86,59,81,86,78,85,81.0,83,82.0,81,64.0,78,71,80,39,39.0,80.0,84.0,54,82.0,39,11,16,11,8,9
Leon Goretzka,https://www.fifaindex.com/static/FIFA20/images/players/5/209658.png,24,Germany,FC Bayern ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/21.png,84,88,"6'2""",174lbs,Right,CM,€40M,€115K,75,76,80,84,68.0,81,75,79,84,84,78,76.0,84,70.0,79,74.0,86,75,83,80,79.0,79.0,82.0,60,80.0,72,13,8,15,11,9
Serge Gnabry,https://www.fifaindex.com/static/FIFA20/images/players/5/206113.png,24,Germany,FC Bayern ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/21.png,84,87,"5'9""",165lbs,Right,RM,€39.5M,€115K,76,84,44,79,83.0,87,62,69,83,91,82,86.0,83,88.0,86,64.0,74,69,81,63,38.0,83.0,78.0,68,78.0,45,14,10,10,9,7
James Rodríguez,https://www.fifaindex.com/static/FIFA20/images/players/5/198710.png,28,Colombia,Real Madrid ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/243.png,85,85,"5'11""",165lbs,Left,CAM,€40.5M,€220K,90,83,62,86,90.0,85,86,83,90,57,54,80.0,84,76.0,86,46.0,65,64,92,60,55.0,80.0,86.0,81,87.0,52,15,15,15,5,14
Stefan de Vrij,https://www.fifaindex.com/static/FIFA20/images/players/5/198176.png,27,Netherlands,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,84,85,"6'2""",172lbs,Right,CB,€31.5M,€88K,49,25,80,73,27.0,66,16,71,71,65,66,62.0,81,59.0,65,76.0,62,78,60,78,85.0,32.0,64.0,41,82.0,88,8,10,7,14,13
Idrissa Gueye,https://www.fifaindex.com/static/FIFA20/images/players/5/193474.png,30,Senegal,Paris ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/73.png,84,84,"5'9""",146lbs,Right,CDM,€26.5M,€110K,60,53,69,81,32.0,76,61,77,79,74,72,82.0,83,82.0,80,88.0,90,69,66,85,89.0,69.0,68.0,54,80.0,84,8,6,8,12,13
Kostas Manolas,https://www.fifaindex.com/static/FIFA20/images/players/5/192774.png,28,Greece,Napoli ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/48.png,85,86,"6'2""",183lbs,Right,CB,€37.5M,€100K,27,25,80,60,16.0,54,10,61,65,81,83,68.0,82,60.0,40,86.0,72,82,12,86,86.0,25.0,22.0,26,85.0,87,8,6,8,15,12
Bernd Leno,https://www.fifaindex.com/static/FIFA20/images/players/5/192563.png,27,Germany,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,84,86,"6'3""",183lbs,Right,GK,€26M,€90K,9,9,13,50,10.0,16,8,48,35,55,56,52.0,81,44.0,59,73.0,43,70,14,28,25.0,7.0,56.0,23,66.0,27,85,80,79,84,86
Kyle Walker,https://www.fifaindex.com/static/FIFA20/images/players/5/188377.png,29,England,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,84,84,"6'0""",154lbs,Right,RB,€25.5M,€165K,81,51,74,78,57.0,79,71,75,78,87,94,66.0,83,70.0,86,83.0,89,79,69,78,81.0,68.0,69.0,63,75.0,78,12,6,16,15,8
Edin Džeko,https://www.fifaindex.com/static/FIFA20/images/players/5/180930.png,33,Bosnia & Herzegovina,Roma ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/52.png,84,84,"6'4""",176lbs,Right,ST,€19.5M,€75K,63,88,83,77,77.0,76,54,72,85,61,60,56.0,83,36.0,86,64.0,72,81,79,58,50.0,89.0,75.0,67,83.0,58,9,11,13,15,15
Éver Banega,https://www.fifaindex.com/static/FIFA20/images/players/5/178562.png,31,Argentina,Sevilla FC ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/481.png,83,83,"5'9""",157lbs,Right,CM,€19.5M,€26K,80,68,55,86,65.0,83,81,85,85,64,59,74.0,78,79.0,76,57.0,70,67,80,83,79.0,75.0,84.0,78,80.0,80,13,8,7,7,10
